IncidentId,IncidentLink,OriginalCreateDate,OriginalOwningTeamName,CurrentOwningTeamName,ManualCorrection,FirstAutoActionAt,FirstAutoActionLatencySeconds,OriginalTitle
786428231,https://portal.microsofticm.com/imp/v3/incidents/details/786428231/home,2026-04-26 08:52:22.973000,CLOUDNET\RNM,CLOUDNET\LXSDN,transfer,2026-04-26 09:10:06.793000,1064.0,USSec HS IcM #8808308
785193100,https://portal.microsofticm.com/imp/v3/incidents/details/785193100/home,2026-04-24 02:32:06.153000,CLOUDNET\RNM,CLOUDNET\LXSDN,transfer,2026-04-24 02:50:04.590000,1078.0,USSec HS IcM #8798706
785154734,https://portal.microsofticm.com/imp/v3/incidents/details/785154734/home,2026-04-24 01:02:40.403000,CLOUDNET\RNC,WINDOWSFABRIC\Triage,transfer,2026-04-24 01:05:07.833000,147.0,[Aggregate][[RNC-Republishing] Republishing task is stuck for more than 15min][useast2 / RepublishingOfflineJob`1] 1 of 1 children Unhealthy
785148890,https://portal.microsofticm.com/imp/v3/incidents/details/785148890/home,2026-04-24 00:50:14.293000,CLOUDNET\RNM,WINDOWSFABRIC\Triage,transfer,2026-04-24 00:51:39.677000,85.0,[PublisherErrors] PublisherErrorsResource [UnknownError_Prod_USEast2] is unhealthy.
784902336,https://portal.microsofticm.com/imp/v3/incidents/details/784902336/home,2026-04-23 15:52:44.680000,CLOUDNET\RNM,CLOUDNET\RNM,transfer,2026-04-23 15:53:12.517000,28.0,[ARM] requests to [uksouth.network.azure.com] for [MICROSOFT.NETWORK/LOCATIONS/OPERATIONRESULTS] are causing increased HTTP 5xx error rates for customers
784362319,https://portal.microsofticm.com/imp/v3/incidents/details/784362319/home,2026-04-22 18:51:36.557000,CLOUDNET\RNM,CLOUDNET\RNM,transfer,2026-04-22 18:55:09.030000,213.0,[ARM_SI] requests to [singaporecentral.network.sovcloud-api.sg] for [Microsoft.Network/NETWORKSECURITYGROUPS] are causing increased HTTP 5xx error rates for customers
783746223,https://portal.microsofticm.com/imp/v3/incidents/details/783746223/home,2026-04-21 18:54:25.497000,CLOUDNET\RNC,CLOUDNET\SdnPubSub,transfer,2026-04-21 18:56:23.213000,118.0,[Aggregate][Batch Publishing Monitor][uscentraleuap] 1 of 4 children Unhealthy
783737150,https://portal.microsofticm.com/imp/v3/incidents/details/783737150/home,2026-04-21 18:37:05.910000,CLOUDNET\RNM,CLOUDNET\LXSDN,transfer,2026-04-21 18:50:06.580000,781.0,USSec HS IcM #8786989
782917216,https://portal.microsofticm.com/imp/v3/incidents/details/782917216/home,2026-04-20 10:10:34.350000,CLOUDNET\RNC,COMPUTEMANAGER\Blackbird,transfer,2026-04-20 10:13:10.043000,156.0,AzMove: Tenant(s) left blocked during Merlin migration in japaneast-prod-a - Management operations are blocked [Do not mitigate based on health monitor]
782851364,https://portal.microsofticm.com/imp/v3/incidents/details/782851364/home,2026-04-20 07:33:34.030000,CLOUDNET\RNM,CLOUDNET\RNM,transfer,2026-04-20 07:36:47.670000,193.0,[API Availability Drop] NRPQos [Bleu France Central][PutNicOperation_Bleu France Central] is unhealthy.
782090113,https://portal.microsofticm.com/imp/v3/incidents/details/782090113/home,2026-04-18 17:04:46.947000,CLOUDNET\RNMTriage,CLOUDNET\LXSDN,transfer,2026-04-18 17:20:07.857000,921.0,USSec HS IcM #8775579
780956317,https://portal.microsofticm.com/imp/v3/incidents/details/780956317/home,2026-04-16 18:43:31.547000,CLOUDNET\RNM,CLOUDNET\NVAinvHub&VirtualRouter,transfer,2026-04-16 18:46:06.167000,155.0,[RNC] GatewaySubnet Allocator is NRP but call went to RNM. Region: Prod_USEast2euap SubnetName: routeservicesubnet OperationName: ReleaseCAReservation
780653432,https://portal.microsofticm.com/imp/v3/incidents/details/780653432/home,2026-04-16 06:57:27.117000,CLOUDNET\RNM,CLOUDNET\RNM,transfer,2026-04-16 07:00:03.707000,156.0,[API Availability Drop] NRPQos [Bleu France Central][PutNicOperation_Bleu France Central] is unhealthy.
780321155,https://portal.microsofticm.com/imp/v3/incidents/details/780321155/home,2026-04-15 18:04:58.887000,CLOUDNET\RNC,COMPUTEMANAGER\Blackbird,transfer,2026-04-15 18:07:00.820000,122.0,AzMove: Tenant(s) left blocked during Merlin migration in uswest-prod-a - Management operations are blocked [Do not mitigate based on health monitor]
778772964,https://portal.microsofticm.com/imp/v3/incidents/details/778772964/home,2026-04-13 11:18:54.717000,CLOUDNET\NetworkManager,CLOUDNET\NetworkManager,transfer,2026-04-13 11:41:39.660000,1365.0,[FabricConnectionMonitor- Prod_EuropeWest] TimeoutException when connecting to net.tcp://ams08prdapp16.fc.core.windows.net:443/
777753131,https://portal.microsofticm.com/imp/v3/incidents/details/777753131/home,2026-04-11 12:14:46.707000,CLOUDNET\NRP,CLOUDNET\NRP,transfer,2026-04-11 12:37:33.963000,1367.0,[Merlin][RNC] VM Failures Detected In Region East US 2 EUAP for Operation DisconnectVmNetworkOperation
777740246,https://portal.microsofticm.com/imp/v3/incidents/details/777740246/home,2026-04-11 11:37:34.120000,CLOUDNET\NRP,CLOUDNET\NRP,transfer,2026-04-11 12:00:17.623000,1363.0,[Merlin][RNC] VM Failures Detected In Region East US 2 EUAP for Operation DisconnectVmNetworkOperation
777616091,https://portal.microsofticm.com/imp/v3/incidents/details/777616091/home,2026-04-11 05:46:28.120000,CLOUDNET\RNCTriage,CLOUDNET\NRP,transfer,2026-04-11 06:09:15.760000,1367.0,[Merlin][RNC] VM Failures Detected In Region East US 2 EUAP for Operation DisconnectVmNetworkOperation
776910287,https://portal.microsofticm.com/imp/v3/incidents/details/776910287/home,2026-04-10 01:03:37.650000,CLOUDNET\RNM,CLOUDNET\RNM,transfer,2026-04-10 01:17:50.257000,853.0,[ARM] requests to [westus.network.azure.com] for [Microsoft.Network/LOCATIONS/OPERATIONRESULTS] are causing increased HTTP 5xx error rates for customers
776897864,https://portal.microsofticm.com/imp/v3/incidents/details/776897864/home,2026-04-10 00:35:40.870000,CLOUDNET\RNM,CLOUDNET\RNM,transfer,2026-04-10 00:49:53.283000,853.0,[ARM] requests to [westus.network.azure.com] for [Microsoft.Network/LOCATIONS/OPERATIONRESULTS] are causing increased HTTP 5xx error rates for customers
776826705,https://portal.microsofticm.com/imp/v3/incidents/details/776826705/home,2026-04-09 21:53:46.020000,CLOUDNET\RNM,CLOUDNET\RNM,transfer,2026-04-09 22:09:11.257000,925.0,[ARM] requests to [westus.network.azure.com] for [Microsoft.Network/LOCATIONS/OPERATIONRESULTS] are causing increased HTTP 5xx error rates for customers
776283963,https://portal.microsofticm.com/imp/v3/incidents/details/776283963/home,2026-04-09 01:23:24.597000,CLOUDNET\NetworkManager,CLOUDNET\RNM,transfer,2026-04-09 01:24:13.543000,49.0,[ARM] requests to [westus.network.azure.com] for [MICROSOFT.NETWORK/LOCATIONS/OPERATIONRESULTS] are causing increased HTTP 5xx error rates for customers
776164429,https://portal.microsofticm.com/imp/v3/incidents/details/776164429/home,2026-04-08 20:57:32.003000,CLOUDNET\RNM,CLOUDNET\LXSDN,transfer,2026-04-08 21:30:08.157000,1956.0,USSec HS IcM #8742277
776147894,https://portal.microsofticm.com/imp/v3/incidents/details/776147894/home,2026-04-08 20:18:59.360000,CLOUDNET\RNC,COMPUTEMANAGER\Blackbird,transfer,2026-04-08 20:20:50.767000,111.0,AzMove: Tenant(s) left blocked during Merlin migration in uswest2-prod-a - Management operations are blocked [Do not mitigate based on health monitor]
775558875,https://portal.microsofticm.com/imp/v3/incidents/details/775558875/home,2026-04-07 21:50:58.463000,CLOUDNET\NRP,CLOUDNET\NRP,relationship,2026-04-07 23:53:25.307000,7347.0,[PartnerQos] Rnm requests success rate drop
775418206,https://portal.microsofticm.com/imp/v3/incidents/details/775418206/home,2026-04-07 16:29:32.047000,CLOUDNET\RNM,CLOUDNET\LXSDN,transfer,2026-04-07 16:50:06.150000,1234.0,USSec HS IcM #8737160
774847296,https://portal.microsofticm.com/imp/v3/incidents/details/774847296/home,2026-04-06 18:20:18.247000,CLOUDNET\RNM,CLOUDNET\RNM,transfer,2026-04-06 18:25:36.780000,318.0,[PublisherAlert_RareErrors_Sev2] RNMAlerts [Prod_AsiaSouthEast][Prod_AsiaSouthEast_PublisherProgrammingFailed] is unhealthy.
774808546,https://portal.microsofticm.com/imp/v3/incidents/details/774808546/home,2026-04-06 16:48:47.163000,CLOUDNET\NetworkManager,CLOUDNET\RNM,transfer,2026-04-06 16:49:12.440000,25.0,[ARM] requests to [westus.network.azure.com] for [MICROSOFT.NETWORK/LOCATIONS/OPERATIONRESULTS] are causing increased HTTP 5xx error rates for customers
774345501,https://portal.microsofticm.com/imp/v3/incidents/details/774345501/home,2026-04-05 19:17:33.173000,CLOUDNET\RNM,CLOUDNET\RNM,transfer,2026-04-05 19:19:01.450000,88.0,[PublisherAlert_RareErrors_Sev2] RNMAlerts [Prod_AustraliaEast][Prod_AustraliaEast_PublisherProgrammingFailed] is unhealthy.
774341366,https://portal.microsofticm.com/imp/v3/incidents/details/774341366/home,2026-04-05 19:05:35.303000,CLOUDNET\RNM,CLOUDNET\RNM,transfer,2026-04-05 19:07:06.950000,91.0,[PublisherAlert_RareErrors_Sev2] RNMAlerts [Prod_AustraliaSouthEast][Prod_AustraliaSouthEast_PublisherProgrammingFailed] is unhealthy.
774338158,https://portal.microsofticm.com/imp/v3/incidents/details/774338158/home,2026-04-05 18:56:16.200000,CLOUDNET\RNM,CLOUDNET\RNM,transfer,2026-04-05 18:57:30.677000,74.0,[PublisherAlert_RareErrors_Sev2] RNMAlerts [Prod_mexicoc][Prod_mexicoc_PublisherProgrammingFailed] is unhealthy.
774338148,https://portal.microsofticm.com/imp/v3/incidents/details/774338148/home,2026-04-05 18:56:12.240000,CLOUDNET\RNM,CLOUDNET\RNM,transfer,2026-04-05 18:57:27.803000,75.0,[PublisherAlert_RareErrors_Sev2] RNMAlerts [Prod_EuropeNorth][Prod_EuropeNorth_PublisherProgrammingFailed] is unhealthy.
774337116,https://portal.microsofticm.com/imp/v3/incidents/details/774337116/home,2026-04-05 18:53:07.870000,CLOUDNET\RNM,CLOUDNET\RNM,transfer,2026-04-05 18:54:28.447000,81.0,[PublisherAlert_RareErrors_Sev2] RNMAlerts [Prod_CanadaCentral][Prod_CanadaCentral_PublisherProgrammingFailed] is unhealthy.
773723705,https://portal.microsofticm.com/imp/v3/incidents/details/773723705/home,2026-04-04 12:28:10.280000,CLOUDNET\RNM,CLOUDNET\LXSDN,transfer,2026-04-04 12:40:08.127000,718.0,USSec HS IcM #8725693
773020533,https://portal.microsofticm.com/imp/v3/incidents/details/773020533/home,2026-04-03 05:30:09.800000,CLOUDNET\RNM,CLOUDNET\LXSDN,transfer,2026-04-03 05:50:06.710000,1197.0,USSec HS IcM #8718548
772076975,https://portal.microsofticm.com/imp/v3/incidents/details/772076975/home,2026-04-01 13:55:52.100000,CLOUDNET\RNC,CLOUDNET\RNC,transfer,2026-04-01 13:57:11.193000,79.0,[Merlin][RNC][Aggregate][Sev2] Unexpected Mac Isolation Status In Region switzerlandn: 1 of 281 Partitions Unhealthy
771040218,https://portal.microsofticm.com/imp/v3/incidents/details/771040218/home,2026-03-30 19:28:55.540000,CLOUDNET\ManagedNetworkController,CLOUDNET\ManagedNetworkController,transfer,2026-03-30 19:33:10.170000,255.0,[FloodSuppression] ARM requests to [MICROSOFT.NETWORK] for requests destined to 4 / 7352 endpoints are causing increased HTTP 5xx error rates for customers
770976257,https://portal.microsofticm.com/imp/v3/incidents/details/770976257/home,2026-03-30 16:59:30.153000,CLOUDNET\RNM,CLOUDNET\RNM,transfer,2026-03-30 17:06:30.343000,420.0,[Aggregate][Batch Publishing Monitor][useast2euap] 1 of 2 children Unhealthy
770877037,https://portal.microsofticm.com/imp/v3/incidents/details/770877037/home,2026-03-30 13:02:50.310000,CLOUDNET\RNM,CLOUDNET\LXSDN,transfer,2026-03-30 13:20:10.420000,1040.0,USSec HS IcM #8699615
770444909,https://portal.microsofticm.com/imp/v3/incidents/details/770444909/home,2026-03-29 15:34:00.057000,CLOUDNET\NetworkManager,CLOUDNET\RNC,transfer,2026-03-29 15:35:15.693000,75.0,[Merlin][RNC][Aggregate][Sev2] Unexpected Mac Isolation Status In Region uswest2: 1 of 647 Partitions Unhealthy
770365093,https://portal.microsofticm.com/imp/v3/incidents/details/770365093/home,2026-03-29 11:12:06.600000,CLOUDNET\RNC,COMPUTEMANAGER\Blackbird,transfer,2026-03-29 11:13:20.460000,74.0,AzMove: Tenant(s) left blocked during Merlin migration in useast-prod-a - Management operations are blocked [Do not mitigate based on health monitor]
769793968,https://portal.microsofticm.com/imp/v3/incidents/details/769793968/home,2026-03-28 04:50:24.630000,CLOUDNET\NRP,CLOUDNET\IDNS-RR,transfer,2026-03-28 04:52:40.823000,136.0,ARM Alert: High error rate fetching dSTS tokens for global-ppe.tenant.azuredns.net
769048082,https://portal.microsofticm.com/imp/v3/incidents/details/769048082/home,2026-03-26 22:18:37.890000,CLOUDNET\RNM,CLOUDNET\LXHybrid,transfer,2026-03-26 22:40:09.453000,1292.0,USSec HS IcM #8685999
766173452,https://portal.microsofticm.com/imp/v3/incidents/details/766173452/home,2026-03-21 17:32:05.710000,CLOUDNET\NRP,CLOUDNET\NRP,transfer,2026-03-21 17:33:16.590000,71.0,KVS corruption error 0x80071CF7 detected
765618963,https://portal.microsofticm.com/imp/v3/incidents/details/765618963/home,2026-03-20 16:01:05.173000,CLOUDNET\RNM,CLOUDNET\RNM,transfer,2026-03-20 16:02:42.560000,97.0,[PublisherErrors] PublisherErrorsResource [MadariFaultException_Prod_USEast2euap] is unhealthy.
765607946,https://portal.microsofticm.com/imp/v3/incidents/details/765607946/home,2026-03-20 15:35:39.560000,CLOUDNET\RNC,CLOUDNET\RNC,transfer,2026-03-20 15:38:01.307000,142.0,[Merlin][RNC] VM Failures Detected In Region East US for Operation DisconnectVmNetworkOperation
763697660,https://portal.microsofticm.com/imp/v3/incidents/details/763697660/home,2026-03-17 09:22:32.947000,CLOUDNET\RNM,CLOUDNET\SDNE2ERunners,transfer,2026-03-17 09:44:14.907000,1302.0,[Control Path: RNM] Runner Name: AzNetToolsRunners.DefaultLBILBSTenant Region: germanyn Instance: azfDefaultLBILBSTenantgermanynProd Phase: InitialDeployment
762762048,https://portal.microsofticm.com/imp/v3/incidents/details/762762048/home,2026-03-15 16:22:27.707000,CLOUDNET\RNMTriage,CLOUDNET\SDNE2ERunners,transfer,2026-03-15 16:42:41.497000,1214.0,[Control Path: RNM] Runner Name: AzNetToolsRunners.DefaultLBILBSTenant Region: germanyn Instance: azfDefaultLBILBSTenantgermanynProd Phase: InitialDeployment
761748191,https://portal.microsofticm.com/imp/v3/incidents/details/761748191/home,2026-03-13 13:41:43.293000,CLOUDNET\RNC,CLOUDNET\RNC,transfer,2026-03-13 13:43:05.390000,82.0,[Merlin][RNC][Aggregate][Sev2] Unexpected Mac Isolation Status In Region switzerlandn: 1 of 580 Partitions Unhealthy
759835518,https://portal.microsofticm.com/imp/v3/incidents/details/759835518/home,2026-03-10 13:19:37.097000,CLOUDNET\NRP,CLOUDNET\NRP,transfer,2026-03-10 13:21:02.220000,85.0,[Merlin][RNC] VM Failures Detected In Region West Europe for Operation AllocateVirtualMachinesOperation
