IncidentId,IncidentLink,OriginalCreateDate,OriginalOwningTeamName,CurrentOwningTeamName,ManualCorrection,FirstAutoActionAt,FirstAutoActionLatencySeconds,OriginalTitle
808823544,https://portal.microsofticm.com/imp/v3/incidents/details/808823544/home,2026-05-31 07:25:21.140000,CLOUDNET\RNM,CLOUDNET\RNM,transfer,2026-05-31 07:25:54.993000,33,[ARM] requests to [uksouth.network.azure.com] for [MICROSOFT.NETWORK/LOCATIONS/OPERATIONRESULTS] are causing increased HTTP 5xx error rates for customers
808340248,https://portal.microsofticm.com/imp/v3/incidents/details/808340248/home,2026-05-30 09:27:23.393000,CLOUDNET\RNM,CLOUDNET\RNM,transfer,2026-05-30 09:30:05.707000,162,[API Availability Drop] NRPQos [Bleu France Central][PutNicOperation_Bleu France Central] is unhealthy.
807809946,https://portal.microsofticm.com/imp/v3/incidents/details/807809946/home,2026-05-29 14:01:28.210000,CLOUDNET\RNC,CLOUDNET\SdnPubSub,transfer,2026-05-29 14:03:27.893000,119,[Aggregate][Batch Publishing Monitor][USEast2] 2 of 2 children Unhealthy
806527733,https://portal.microsofticm.com/imp/v3/incidents/details/806527733/home,2026-05-27 18:57:35.170000,CLOUDNET\RNM,COMPUTEMANAGER\Blackbird,transfer,2026-05-27 18:59:42.033000,127,[CpuUsageMonitor_2022] CPU_Region_RoleInstance_Instance [USGovEast][_Total_USGovEast_RNM_BN1AzFApp10_01_IN_7] is unhealthy.
805940938,https://portal.microsofticm.com/imp/v3/incidents/details/805940938/home,2026-05-27 00:32:17.790000,CLOUDNET\RNC,AZURERT\CRPCoreService,transfer,2026-05-27 00:33:42.260000,85,AzMove: Tenant(s) left blocked during Merlin migration in japaneast-prod-a - Management operations are blocked [Do not mitigate based on health monitor]
805922247,https://portal.microsofticm.com/imp/v3/incidents/details/805922247/home,2026-05-26 23:59:16.060000,CLOUDNET\RNM,CLOUDNET\RNM,transfer,2026-05-27 00:00:50.653000,94,[PublisherAlert_RareErrors_Sev2] RNMAlerts [Prod_USSouth][Prod_USSouth_PublisherProgrammingFailed] is unhealthy.
805922229,https://portal.microsofticm.com/imp/v3/incidents/details/805922229/home,2026-05-26 23:59:15.513000,CLOUDNET\RNM,CLOUDNET\RNM,transfer,2026-05-27 00:14:27.577000,912,[PublisherAlert_RareErrors_Sev2] RNMAlerts [Prod_USWest2][Prod_USWest2_PublisherProgrammingFailed] is unhealthy.
805828402,https://portal.microsofticm.com/imp/v3/incidents/details/805828402/home,2026-05-26 21:10:31.860000,CLOUDNET\RNC,CLOUDNET\SdnPubSub,transfer,2026-05-26 21:11:59.113000,88,[Aggregate][Batch Publishing Monitor][useast2euap] 1 of 3 children Unhealthy
803601979,https://portal.microsofticm.com/imp/v3/incidents/details/803601979/home,2026-05-23 11:15:59.380000,CLOUDNET\RNC,RDOS\HostOSDeployment,transfer,2026-05-23 11:17:29.860000,90,[Aggregate][Batch Publishing Monitor][canadaeast] 1 of 2 children Unhealthy
802287072,https://portal.microsofticm.com/imp/v3/incidents/details/802287072/home,2026-05-21 14:58:56.277000,CLOUDNET\RNM,CLOUDNET\SdnPubSub,transfer,2026-05-21 15:00:44.833000,108,[PublisherAlert_RareErrors_Sev2] RNMAlerts [Prod_EuropeWest][Prod_EuropeWest_PublisherProgrammingFailed] is unhealthy.
801952374,https://portal.microsofticm.com/imp/v3/incidents/details/801952374/home,2026-05-21 04:29:14.170000,CLOUDNET\RNC,CLOUDNET\RNC,transfer,2026-05-21 04:30:37.130000,83,AzMove: Tenant(s) left blocked during running tenant Merlin migration in uscentraleuap-prod-b - Management operations are blocked [Do not mitigate based on health monitor]
800095690,https://portal.microsofticm.com/imp/v3/incidents/details/800095690/home,2026-05-18 09:52:57.840000,CLOUDNET\RNM,CLOUDNET\RNM,transfer,2026-05-18 09:53:27.357000,30,[ARM] requests to [uksouth.network.azure.com] for [MICROSOFT.NETWORK/LOCATIONS/OPERATIONRESULTS] are causing increased HTTP 5xx error rates for customers
799143306,https://portal.microsofticm.com/imp/v3/incidents/details/799143306/home,2026-05-16 14:19:34.473000,CLOUDNET\RNM,CLOUDNET\RNM,transfer,2026-05-16 14:20:02.700000,28,[ARM] requests to [uksouth.network.azure.com] for [Microsoft.Network/locations/operationResults] are causing increased HTTP 5xx error rates for customers
