OriginalOwningTeamId,OriginalOwningTeamName,OriginalOwningTenantName,EligibleIncidentCount,AutoTransferCount,AutoLinkCount,AutoAnyActionCount,AutoTransferCorrectCount,AutoLinkCorrectCount,AutoTransferIncorrectCount,AutoLinkIncorrectCount,ReworkCount,ManualTransferAfterAutoCount,ManualRelationshipUpdateAfterAutoCount,TransferLatencyP50Sec,TransferLatencyP95Sec,LinkLatencyP50Sec,LinkLatencyP95Sec,FirstAutoActionLatencyP50Sec,FirstAutoActionLatencyP95Sec,AutoTransferCoveragePct,AutoLinkCoveragePct,AutoAnyCoveragePct,AutoTransferCorrectnessPct,AutoLinkCorrectnessPct,ReworkRatePct,ManualTransferAfterAutoPct,ManualRelationshipUpdateAfterAutoPct
140105,CLOUDNET\AvnmIPAM,Cloudnet,24,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,,,,,
135033,CLOUDNET\AvnmInsights,Cloudnet,13,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,,,,,
75939,CLOUDNET\IDC-NRP,Cloudnet,11,1,0,1,1,0,0,0,1,0,1,73,73,,,73,73,0.09090909090909091,0.0,0.09090909090909091,1.0,,1.0,0.0,1.0
60163,CLOUDNET\ManagedNetworkController,Cloudnet,840,2,0,2,1,0,1,0,1,1,1,255,614,,,255,614,0.002380952380952381,0.0,0.002380952380952381,0.5,,0.5,0.5,0.5
10549,CLOUDNET\NRP,Cloudnet,326,55,1,56,52,0,3,1,24,3,21,603,3147,7347,7347,603,6092,0.1687116564417178,0.003067484662576687,0.17177914110429449,0.9454545454545454,0.0,0.42857142857142855,0.05357142857142857,0.375
93543,CLOUDNET\NRPTriage,Cloudnet,1,1,0,1,1,0,0,0,0,0,0,190,190,,,190,190,1.0,0.0,1.0,1.0,,0.0,0.0,0.0
10475,CLOUDNET\NetworkManager,Cloudnet,3516,40,2,42,37,2,3,0,11,3,9,139,1365,857,66695,147,1413,0.011376564277588168,0.0005688282138794084,0.011945392491467578,0.925,1.0,0.2619047619047619,0.07142857142857142,0.21428571428571427
67334,CLOUDNET\NsmPlus,Cloudnet,26,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,,,,,
68685,CLOUDNET\PrivateLink_ControlPlane,Cloudnet,7,1,0,1,1,0,0,0,0,0,0,42,42,,,42,42,0.14285714285714285,0.0,0.14285714285714285,1.0,,0.0,0.0,0.0
82812,CLOUDNET\RNC,Cloudnet,165,64,0,64,53,0,11,0,33,11,25,108,1272,,,108,1272,0.3878787878787879,0.0,0.3878787878787879,0.828125,,0.515625,0.171875,0.390625
105484,CLOUDNET\RNCTriage,Cloudnet,2,2,0,2,1,0,1,0,1,1,0,274,1107,,,274,1107,1.0,0.0,1.0,0.5,,0.5,0.5,0.0
10661,CLOUDNET\RNM,Cloudnet,764,644,27,660,611,27,33,0,418,33,396,118,1076,138,92117,118,1067,0.8429319371727748,0.03534031413612566,0.8638743455497382,0.9487577639751553,1.0,0.6333333333333333,0.05,0.6
82813,CLOUDNET\RNMTriage,Cloudnet,14,10,1,10,9,1,1,0,5,1,4,133,1249,1481,1481,133,1249,0.7142857142857143,0.07142857142857142,0.7142857142857143,0.9,1.0,0.5,0.1,0.4
42690,CLOUDNET\SDN-NRP,Cloudnet,2,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,,,,,
