IncidentId,IcmLink,IsMissingRCA,IsTriaged,StartOfWeek,LookingDate,CreateDate,ModifiedDate,MitigateDate,ResolveDate,MonitorId,RoutingId,OwningTenantId,OwningTenantName,OwningTeamId,OwningTeamName,OwningContactAlias,Severity,Status,InactiveInDays,Title,RootCauseId,RCATitle,RCADescription,ResponsibleTeamName,ResponsibleTeamId,Tags,RunnerName,RunnerInstance,Region,Phase,TestPhase,RunnerFlavor,SubscriptionId,FailureType,IcmAutoCorrelation,HowFixed,Mitigation,RepairItems,SeverityDowngradeBy,SeverityDowngradeType,FinalTeamGroup
707284047,https://portal.microsofticm.com/imp/v5/incidents/details/707284047/summary,0,1,2025-11-02 00:00:00+00:00,2025-11-07 21:27:56.673000+00:00,2025-11-05 22:32:24.780000+00:00,2025-11-20 17:45:06.890000+00:00,2025-11-07 21:27:56.673000+00:00,,azf-PEAzureSearch-CP-V2,MDM://RNM_TRIAGE,10045,Cloudnet,10661,RNM,erlicai,2,MITIGATED,0,[Control Path: PrivateLink] Runner Name: AzNetToolsRunners.PEAzureSearch Region: europenorth Instance: azfPEAzureSearcheuropenorthPaireuropewestProd Phase: PE-Create,8130734,[Control Path: PrivateLink] Runner Name: AzNetToolsRunners.PEAzureSearch Region: europenorth Instance: azfPEAzureSearcheuropenorthPaireuropewestProd Phase: PE-Create,,CLOUDNET\RNM,10661,"[""M365 Incident Linking""]",AzNetToolsRunners.PEAzureSearch,azfPEAzureSearcheuropenorthPaireuropewestProd,europenorth,PE-Create,Others,azf,fd28eb6f-9ab2-48e7-b6b0-80593608ee25,Testing Failure,0,Transient,Runner is healthy now,,N/A,N/A,Xinyan Team
707394540,https://portal.microsofticm.com/imp/v5/incidents/details/707394540/summary,0,1,2025-11-02 00:00:00+00:00,2025-11-13 18:06:04.017000+00:00,2025-11-06 03:47:43.860000+00:00,2025-11-18 16:34:42.763000+00:00,2025-11-06 18:29:24.637000+00:00,2025-11-13 18:06:04.017000+00:00,azf-AzsmApiMgdRsvdVip-CP,MDM://nsmplus,10045,Cloudnet,60163,ManagedNetworkController,,2,RESOLVED,0,[Control Path: NSMPlus-AzSM] Runner Name: AzNetToolsRunners.AzsmApiMgdRsvdVip Region: europewest Instance: azfSpdSlbv1AzsmApiMgdRsvdVipeuropewestProd Phase: DeleteRG,8106871,Background task take 3 hours and timeout,"pen in [ADX Web] [Kusto.Explorer] [Fabric] [cluster('nrp.kusto.windows.net').database('mdsnrp')]BatchTransactionManagerEvent| where PreciseTimeStamp between (datetime(2025-11-01T01:31:48.2574615Z) .. datetime(2025-11-10T06:35:11.0907476Z))| where SubscriptionId == ""15611d6a-54ce-4dd4-86b9-0ba62a15bf30"" // PartitionId == ""793e7dbd-46c8-46a9-bd29-43ca27e96287"" | where Region == ""europewest""| summarize dcount(JobId) by PartitionId, bin(PreciseTimeStamp, 5m)| render timechart No jobs were processed during the impact window. Need investigation",CLOUDNET\ManagedNetworkController,60163,"[""FDRecommendedLinks""]",AzNetToolsRunners.AzsmApiMgdRsvdVip,azfSpdSlbv1AzsmApiMgdRsvdVipeuropewestProd,europewest,DeleteRG,Delete RG,azfSpdSlbv1,ee357190-cfac-458b-b601-3fc48dab4010,Delete RG,0,Transient,"it is perf issue during that time, mark this as mitigated, pending RCA","[""35888593""]",N/A,N/A,Xinyan Team
707533033,https://portal.microsofticm.com/imp/v5/incidents/details/707533033/summary,1,1,2025-11-02 00:00:00+00:00,2025-11-07 04:10:36.690000+00:00,2025-11-06 11:19:16.980000+00:00,2025-11-07 04:10:48.063000+00:00,2025-11-07 04:10:10.147000+00:00,2025-11-07 04:10:36.690000+00:00,RNC-SharedVNetNicCaUpdateRunner-CP,MDM://RNC_TRIAGE,10045,Cloudnet,39447,SDNE2ERunners,v-njammula,3,RESOLVED,0,[Control Path: RNC] Runner Name: AzNetToolsRunners.SharedVNetNicCaUpdateRunner Region: useast2euap Instance: azfRNCSharedVNetNicCaUpdateRunneruseast2euapProd Phase: UpdateSharedVnetVmNicCa,,,,CLOUDNET\SDNE2ERunners,39447,"[""M365 Incident Linking""]",AzNetToolsRunners.SharedVNetNicCaUpdateRunner,azfRNCSharedVNetNicCaUpdateRunneruseast2euapProd,useast2euap,UpdateSharedVnetVmNicCa,Others,azfRNC,77c3f3ce-0781-4bec-bd1b-694d780a058a,Testing Failure,0,Fixed with TSG,Restarted runner,,v-chrajak,DRI,Runner Team
707533034,https://portal.microsofticm.com/imp/v5/incidents/details/707533034/summary,0,1,2025-11-02 00:00:00+00:00,2026-04-28 05:26:22.587000+00:00,2025-11-06 11:19:17.277000+00:00,2026-04-28 05:26:31.890000+00:00,2026-04-28 05:26:09.167000+00:00,2026-04-28 05:26:22.587000+00:00,RNC-SharedVNetNicCaUpdateRunner-CP,MDM://RNC_TRIAGE,10045,Cloudnet,39447,SDNE2ERunners,cesarlazo,25,RESOLVED,0,[Control Path: RNC] Runner Name: AzNetToolsRunners.SharedVNetNicCaUpdateRunner Region: uscentraleuap Instance: azfRNCSharedVNetNicCaUpdateRunneruscentraleuapProd Phase: DeployProviderArmTemplate,8144537,[Control Path: RNC] Runner Name: AzNetToolsRunners.SharedVNetNicCaUpdateRunner Region: uscentraleuap Instance: azfRNCSharedVNetNicCaUpdateRunneruscentraleuapProd Phase: DeployProviderArmTemplate,"Found the below error signatures from Log : TRACETELEMETRYErrorCode: n/aErrorSignatures: InvalidAuthenticationTokenTenant, The access token is from the wrong issuerAdditional Message:This is issue with InvalidAuthenticationTokenTenant, auto transferring to Runner team.",CLOUDNET\SDNE2ERunners,39447,"[""InvalidAuthenticationTokenTenant"",""M365 Incident Linking""]",AzNetToolsRunners.SharedVNetNicCaUpdateRunner,azfRNCSharedVNetNicCaUpdateRunneruscentraleuapProd,uscentraleuap,DeployProviderArmTemplate,Others,azfRNC,77c3f3ce-0781-4bec-bd1b-694d780a058a,Testing Failure,1,External,Old ticket,,v-chrajak,DRI,Runner Team
707710603,https://portal.microsofticm.com/imp/v5/incidents/details/707710603/summary,0,1,2025-11-02 00:00:00+00:00,2025-11-06 23:57:27.573000+00:00,2025-11-06 19:14:38.090000+00:00,2025-11-06 23:57:55.930000+00:00,2025-11-06 23:57:27.573000+00:00,,azf-PERunner-CP-V2,MDM://RNM_TRIAGE,10045,Cloudnet,39447,SDNE2ERunners,oogwoude,2,MITIGATED,0,[Control Path: PrivateLink] Runner Name: AzNetToolsRunners.PERunner Region: uaec Instance: azfPERunneruaecPairuaenProd Phase: InitialDeployment,8116239,[Control Path: PrivateLink] Runner Name: AzNetToolsRunners.PERunner Region: uaec Instance: azfPERunneruaecPairuaenProd Phase: InitialDeployment,,CLOUDNET\SDNE2ERunners,39447,[],AzNetToolsRunners.PERunner,azfPERunneruaecPairuaenProd,uaec,InitialDeployment,Deployment RG,azf,fd28eb6f-9ab2-48e7-b6b0-80593608ee25,Deployment,0,Transient,Mitigated as monitor is healthy.,,N/A,N/A,Runner Team
707731177,https://portal.microsofticm.com/imp/v5/incidents/details/707731177/summary,0,1,2025-11-02 00:00:00+00:00,2025-11-07 01:45:15.440000+00:00,2025-11-06 20:12:37.167000+00:00,2025-11-07 01:45:33.513000+00:00,2025-11-07 01:40:19.683000+00:00,2025-11-07 01:45:15.440000+00:00,azfRNC-UdrNsgServiceTag-CP-V2,MDM://RNC_TRIAGE,10045,Cloudnet,39447,SDNE2ERunners,oogwoude,2,RESOLVED,0,[Control Path: RNC] Runner Name: AzNetToolsRunners.UdrNsgServiceTag Region: uscentraleuap Instance: azfHybridUdrNsgServiceTaguscentraleuapProd Phase: ApplyRouteTablesServiceTagRules - DPTest,8108456,[Control Path: RNC] Runner Name: AzNetToolsRunners.UdrNsgServiceTag Region: uscentraleuap Instance: azfHybridUdrNsgServiceTaguscentraleuapProd Phase: ApplyRouteTablesServiceTagRules - DPTest,"Found the below error signatures from Log : TRACETELEMETRYErrorCode: n/aErrorSignatures: n/aAdditional Message:TCP listener setup on receiving VM is successful, but TCP ping from VM1 to VM2 failed because sender VM ClientState is 'NotStarted', this needs Runner team to investigate.",CLOUDNET\SDNE2ERunners,39447,[],AzNetToolsRunners.UdrNsgServiceTag,azfHybridUdrNsgServiceTaguscentraleuapProd,uscentraleuap,ApplyRouteTablesServiceTagRules - DPTest,Others,azfHybrid,2804862d-4e77-4996-be42-35e38649a985,Testing Failure,0,By Design,"No failures in the past hour, these are all successful operationsTests are passing, TCP connectivity is workingThe system appears healthy — listener setup and sender operations are succeedingThe sender VM's TCP client component wasn't starting, so tests failed with ""NotStarted"". The agent/client is now functioning, so tests are passing. This points to a transient issue with the runner agent or client initialization on the sender VMs, which appears resolved.",,N/A,N/A,Runner Team
707776131,https://portal.microsofticm.com/imp/v5/incidents/details/707776131/summary,0,1,2025-11-02 00:00:00+00:00,2025-11-07 16:17:41.687000+00:00,2025-11-06 21:59:25.777000+00:00,2025-11-12 06:42:33.300000+00:00,2025-11-07 16:17:41.687000+00:00,,azfRNC-RnmAsgUpdateAfterDeletingVM-CP-V2,MDM://RNC_TRIAGE,10045,Cloudnet,62378,NMAgent,abhisheklal,2,MITIGATED,0,[Control Path: RNC] Runner Name: AzNetToolsRunners.RnmAsgUpdateAfterDeletingVMRunner Region: useast2euap Instance: azfRNCRnmAsgUpdateAfterDeletingVMRunneruseast2euapProd Phase: VM3_PING_VM1_Phase_2,,,,CLOUDNET\NMAgent,62378,"[""RunnerFoundBug""]",AzNetToolsRunners.RnmAsgUpdateAfterDeletingVMRunner,azfRNCRnmAsgUpdateAfterDeletingVMRunneruseast2euapProd,useast2euap,VM3_PING_VM1_Phase_2,Others,azfRNC,a0eb6781-4891-4925-af65-ae3a225f3866,Testing Failure,0,,Incident is mitigated by the monitor azf-SDNRunnerFramework-CP because the watchdogs associated with this incident have reported healthy at least 3 times in last 20.0 mins for resource resource://AzNetToolsRunners/azf-SDNRunnerFramework-CP/SetWorkerLog_useast2euap_azfRNCRnmAsgUpdateAfterDeletingVMRunneruseast2euapProd_AzNetToolsRunners.RnmAsgUpdateAfterDeletingVMRunner.,,N/A,N/A,Other Teams
707908907,https://portal.microsofticm.com/imp/v5/incidents/details/707908907/summary,0,1,2025-11-02 00:00:00+00:00,2025-11-08 00:16:58.473000+00:00,2025-11-07 04:09:54.803000+00:00,2025-11-08 00:17:25.620000+00:00,2025-11-08 00:15:21.920000+00:00,2025-11-08 00:16:58.473000+00:00,azf-RnmAsgUpdateAfterDeletingVM-CP-V2,MDM://RNM_TRIAGE,10045,Cloudnet,62378,NMAgent,sshamaiengar,2,RESOLVED,0,[Control Path: RNM] Runner Name: AzNetToolsRunners.RnmAsgUpdateAfterDeletingVMRunner Region: useast2euap Instance: azfRnmAsgUpdateAfterDeletingVMRunneruseast2euapProd Phase: VM3_PING_VM1_Phase_2,8132485,n/a,,CLOUDNET\NMAgent,62378,"[""RunnerFoundBug""]",AzNetToolsRunners.RnmAsgUpdateAfterDeletingVMRunner,azfRnmAsgUpdateAfterDeletingVMRunneruseast2euapProd,useast2euap,VM3_PING_VM1_Phase_2,Others,azf,2068f7fb-3afa-413b-9e82-548b0fcbfa76,Testing Failure,0,Other,"Closing as duplicate, see parent ICM for ongoing investigation",,N/A,N/A,Other Teams
707916832,https://portal.microsofticm.com/imp/v5/incidents/details/707916832/summary,0,0,2025-11-02 00:00:00+00:00,2025-11-09 16:33:04.887000+00:00,2025-11-07 04:33:02.567000+00:00,2025-11-09 16:33:04.910000+00:00,2025-11-09 16:33:04.887000+00:00,,azf-AnmCPPublic-Sev25,MDM://AzureNetworkManager,10045,Cloudnet,60163,ManagedNetworkController,danlope,25,MITIGATED,0,[Control Path: AVNMCP] Runner Name: AzNetToolsRunners.AnmCPPublicRoutingCommit Region: uscentraleuap Instance: azfAnmCPPublicRoutingCommituscentraleuapProd,,,,,,[],AzNetToolsRunners.AnmCPPublicRoutingCommit,,uscentraleuap,AggregatedPhase,Others,,,AggregatedPhase,0,,Incident is mitigated by the monitor azf-AnmCPPublic-Sev25 because the watchdogs associated with this incident have reported healthy at least 10 times in last 270.0 mins for resource resource://AzNetToolsRunners/azf-AnmCPPublic-CP-RunnerInstance/uscentraleuap_azfAnmCPPublicRoutingCommituscentraleuapProd_AzNetToolsRunners.AnmCPPublicRoutingCommit.,,N/A,N/A,Xinyan Team
708152773,https://portal.microsofticm.com/imp/v5/incidents/details/708152773/summary,0,1,2025-11-02 00:00:00+00:00,2025-11-08 00:19:17.200000+00:00,2025-11-07 17:39:52.223000+00:00,2025-11-08 00:19:18.667000+00:00,2025-11-08 00:18:38.247000+00:00,2025-11-08 00:19:17.200000+00:00,azf-RnmAsgUpdateAfterDeletingVM-CP-V2,MDM://RNM_TRIAGE,10045,Cloudnet,62378,NMAgent,sshamaiengar,2,RESOLVED,0,[DUPLICATE][Control Path: RNM] Runner Name: AzNetToolsRunners.RnmAsgUpdateAfterDeletingVMRunner Region: useast2euap Instance: azfRnmAsgUpdateAfterDeletingVMRunneruseast2euapProd Phase: VM3_PING_VM1_Phase_2,8132515,duplicate,,CLOUDNET\NMAgent,62378,"[""M365 Incident Linking""]",AzNetToolsRunners.RnmAsgUpdateAfterDeletingVMRunner,azfRnmAsgUpdateAfterDeletingVMRunneruseast2euapProd,useast2euap,VM3_PING_VM1_Phase_2,Others,azf,2068f7fb-3afa-413b-9e82-548b0fcbfa76,Testing Failure,0,Other,"Closing as duplicate, see parent ICM for ongoing investigation",,N/A,N/A,Other Teams
